"","Cgigas_KEGGID","Day","modColor","KEGGID_pathway","pathway.name","Num.genes.all","Num.genes.exp","Gene.IDs","Rich_factor","pvalue","log10_pvalue","qvalue","Cvirginica_GeneID","Cvirginica_Protein_name"
"1","crg:105334026","Day 0","blue","crg01210","2-Oxocarboxylic acid metabolism",28,10,"105334026",0.357142857142857,0.00171410517991861,2.76596253267142,0.0262003534489981,"LOC111118600"," 2-oxoglutarate dehydrogenase, mitochondrial-like"
"2","crg:105326289","Day 0","blue","crg01210","2-Oxocarboxylic acid metabolism",28,10,"105326289",0.357142857142857,0.00171410517991861,2.76596253267142,0.0262003534489981,"LOC111129319"," 2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial-like"
"3","crg:105338798","Day 0","blue","crg01210","2-Oxocarboxylic acid metabolism",28,10,"105338798",0.357142857142857,0.00171410517991861,2.76596253267142,0.0262003534489981,"LOC111121721"," aconitate hydratase, mitochondrial-like"
"4","crg:105338798","Day 0","blue","crg01210","2-Oxocarboxylic acid metabolism",28,10,"105338798",0.357142857142857,0.00171410517991861,2.76596253267142,0.0262003534489981,"LOC111121719"," aconitate hydratase, mitochondrial-like"
"5","crg:105330192","Day 0","blue","crg01210","2-Oxocarboxylic acid metabolism",28,10,"105330192",0.357142857142857,0.00171410517991861,2.76596253267142,0.0262003534489981,"LOC111134810"," aspartate aminotransferase, cytoplasmic-like"
"6","crg:105339502","Day 0","blue","crg01210","2-Oxocarboxylic acid metabolism",28,10,"105339502",0.357142857142857,0.00171410517991861,2.76596253267142,0.0262003534489981,"LOC111109254"," dihydrolipoyl dehydrogenase, mitochondrial-like"
"7","crg:105339502","Day 0","blue","crg01210","2-Oxocarboxylic acid metabolism",28,10,"105339502",0.357142857142857,0.00171410517991861,2.76596253267142,0.0262003534489981,"LOC111108359"," dihydrolipoyl dehydrogenase, mitochondrial-like"
"8","crg:105317497","Day 0","blue","crg01210","2-Oxocarboxylic acid metabolism",28,10,"105317497",0.357142857142857,0.00171410517991861,2.76596253267142,0.0262003534489981,"LOC111127323"," dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial-like"
"9","crg:105334926","Day 0","blue","crg01210","2-Oxocarboxylic acid metabolism",28,10,"105334926",0.357142857142857,0.00171410517991861,2.76596253267142,0.0262003534489981,"LOC111125610"," isocitrate dehydrogenase [NAD] subunit beta, mitochondrial-like"
"10","crg:105334926","Day 0","blue","crg01210","2-Oxocarboxylic acid metabolism",28,10,"105334926",0.357142857142857,0.00171410517991861,2.76596253267142,0.0262003534489981,"LOC111123350"," isocitrate dehydrogenase [NAD] subunit beta, mitochondrial-like"
"11","crg:105349203","Day 0","blue","crg01210","2-Oxocarboxylic acid metabolism",28,10,"105349203",0.357142857142857,0.00171410517991861,2.76596253267142,0.0262003534489981,"LOC111110280"," isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial-like"
"12","crg:105349203","Day 0","blue","crg01210","2-Oxocarboxylic acid metabolism",28,10,"105349203",0.357142857142857,0.00171410517991861,2.76596253267142,0.0262003534489981,"LOC111109973"," isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial-like"
"13","crg:105317940","Day 0","blue","crg01210","2-Oxocarboxylic acid metabolism",28,10,"105317940",0.357142857142857,0.00171410517991861,2.76596253267142,0.0262003534489981,"LOC111130627"," probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial"
"14","crg:105331349","Day 0","blue","crg01210","2-Oxocarboxylic acid metabolism",28,10,"105331349",0.357142857142857,0.00171410517991861,2.76596253267142,0.0262003534489981,"LOC111099655"," probable pyruvate dehydrogenase E1 component subunit alpha, mitochondrial"
"15","crg:105331349","Day 0","blue","crg01210","2-Oxocarboxylic acid metabolism",28,10,"105331349",0.357142857142857,0.00171410517991861,2.76596253267142,0.0262003534489981,"LOC111099657"," pyruvate dehydrogenase E1 component subunit alpha, mitochondrial-like"
"16","crg:105331349","Day 0","blue","crg01210","2-Oxocarboxylic acid metabolism",28,10,"105331349",0.357142857142857,0.00171410517991861,2.76596253267142,0.0262003534489981,"LOC111099658"," pyruvate dehydrogenase E1 component subunit alpha, mitochondrial-like"
"17","crg:105334026","Day 0","blue","crg01200","Carbon metabolism",107,27,"105334026",0.252336448598131,0.000330539780897203,3.48077626512095,0.0119458236604954,"LOC111118600"," 2-oxoglutarate dehydrogenase, mitochondrial-like"
"18","crg:105330927","Day 0","blue","crg01200","Carbon metabolism",107,27,"105330927",0.252336448598131,0.000330539780897203,3.48077626512095,0.0119458236604954,"LOC111124867"," ATP-dependent 6-phosphofructokinase-like"
"19","crg:105337408","Day 0","blue","crg01200","Carbon metabolism",107,27,"105337408",0.252336448598131,0.000330539780897203,3.48077626512095,0.0119458236604954,"LOC111114474"," D-3-phosphoglycerate dehydrogenase-like"
"20","crg:105337408","Day 0","blue","crg01200","Carbon metabolism",107,27,"105337408",0.252336448598131,0.000330539780897203,3.48077626512095,0.0119458236604954,"LOC111111318"," D-3-phosphoglycerate dehydrogenase-like"
"21","crg:105338629","Day 0","blue","crg01200","Carbon metabolism",107,27,"105338629",0.252336448598131,0.000330539780897203,3.48077626512095,0.0119458236604954,"LOC111136681"," S-formylglutathione hydrolase-like"
"22","crg:105339623","Day 0","blue","crg01200","Carbon metabolism",107,27,"105339623",0.252336448598131,0.000330539780897203,3.48077626512095,0.0119458236604954,"LOC111104702"," acetyl-CoA acetyltransferase, mitochondrial-like"
"23","crg:105318496","Day 0","blue","crg01200","Carbon metabolism",107,27,"105318496",0.252336448598131,0.000330539780897203,3.48077626512095,0.0119458236604954,"LOC111119284"," acetyl-coenzyme A synthetase, cytoplasmic-like"
"24","crg:105338798","Day 0","blue","crg01200","Carbon metabolism",107,27,"105338798",0.252336448598131,0.000330539780897203,3.48077626512095,0.0119458236604954,"LOC111121721"," aconitate hydratase, mitochondrial-like"
"25","crg:105338798","Day 0","blue","crg01200","Carbon metabolism",107,27,"105338798",0.252336448598131,0.000330539780897203,3.48077626512095,0.0119458236604954,"LOC111121719"," aconitate hydratase, mitochondrial-like"
"26","crg:105330192","Day 0","blue","crg01200","Carbon metabolism",107,27,"105330192",0.252336448598131,0.000330539780897203,3.48077626512095,0.0119458236604954,"LOC111134810"," aspartate aminotransferase, cytoplasmic-like"
"27","crg:105339502","Day 0","blue","crg01200","Carbon metabolism",107,27,"105339502",0.252336448598131,0.000330539780897203,3.48077626512095,0.0119458236604954,"LOC111109254"," dihydrolipoyl dehydrogenase, mitochondrial-like"
"28","crg:105339502","Day 0","blue","crg01200","Carbon metabolism",107,27,"105339502",0.252336448598131,0.000330539780897203,3.48077626512095,0.0119458236604954,"LOC111108359"," dihydrolipoyl dehydrogenase, mitochondrial-like"
"29","crg:105317497","Day 0","blue","crg01200","Carbon metabolism",107,27,"105317497",0.252336448598131,0.000330539780897203,3.48077626512095,0.0119458236604954,"LOC111127323"," dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial-like"
